online_order,book_table,rate,votes,cost,BTM,Banashankari,Banaswadi,Bannerghatta Road,Basavanagudi,Basaveshwara Nagar,Bellandur
1,1,4.1,775,6.684611728,0,1,0,0,0,0,0
1,0,4.1,787,6.684611728,0,1,0,0,0,0,0
1,0,3.8,918,6.684611728,0,1,0,0,0,0,0
0,0,3.7,88,5.703782475,0,1,0,0,0,0,0
0,0,3.8,166,6.396929655,0,0,0,0,1,0,0
1,0,3.8,286,6.396929655,0,0,0,0,1,0,0
0,0,3.6,8,6.684611728,0,0,0,0,0,0,0
1,1,4.6,2556,6.396929655,0,1,0,0,0,0,0
1,0,4,324,6.551080335,0,1,0,0,0,0,0
1,0,4.2,504,6.309918278,0,1,0,0,0,0,0
1,0,4.1,402,6.214608098,0,1,0,0,0,0,0
1,1,4.2,150,6.396929655,0,1,0,0,0,0,0
1,1,4.2,164,6.214608098,0,1,0,0,0,0,0
0,0,4,424,6.109247583,0,1,0,0,0,0,0
1,0,3.8,918,6.684611728,0,1,0,0,0,0,0
1,0,3.8,90,6.476972363,0,1,0,0,0,0,0
1,0,3.9,133,6.684611728,0,1,0,0,0,0,0
1,0,3.8,144,6.551080335,0,1,0,0,0,0,0
0,0,3.9,93,5.703782475,0,1,0,0,0,0,0
1,0,3.1,13,5.991464547,0,1,0,0,0,0,0
1,0,3,62,5.991464547,0,1,0,0,0,0,0
1,0,3.7,180,6.214608098,0,1,0,0,0,0,0
0,0,3.6,28,6.802394763,0,1,0,0,0,0,0
1,0,3.6,62,6.396929655,0,1,0,0,0,0,0
0,0,3.7,31,5.703782475,0,1,0,0,0,0,0
0,0,3.2,11,6.396929655,0,1,0,0,0,0,0
1,0,3.8,75,5.298317367,0,1,0,0,0,0,0
0,0,3.3,4,6.214608098,0,1,0,0,0,0,0
0,0,3.3,23,6.309918278,0,1,0,0,0,0,0
0,0,3.8,148,6.309918278,0,0,0,0,1,0,0
1,0,4,219,6.396929655,0,0,0,0,1,0,0
1,0,2.8,506,6.214608098,0,1,0,0,0,0,0
1,0,3.9,35,6.214608098,0,1,0,0,0,0,0
1,0,3.9,172,6.620073207,0,1,0,0,0,0,0
1,0,4.2,415,6.214608098,0,1,0,0,0,0,0
1,0,3.9,230,6.476972363,0,1,0,0,0,0,0
1,0,2.8,91,5.991464547,0,1,0,0,0,0,0
1,0,4.2,1647,6.396929655,0,1,0,0,0,0,0
1,0,4.4,4884,6.620073207,0,0,0,0,0,0,0
1,0,4,17,5.010635294,0,1,0,0,0,0,0
1,0,3.8,133,5.298317367,0,0,0,0,1,0,0
0,0,3.9,28,5.703782475,0,1,0,0,0,0,0
1,0,3.9,286,6.214608098,0,1,0,0,0,0,0
1,0,3.9,540,6.684611728,0,1,0,0,0,0,0
1,1,4.6,2556,6.396929655,0,1,0,0,0,0,0
0,0,3.8,36,5.991464547,0,1,0,0,0,0,0
1,0,3.6,244,5.703782475,0,0,0,0,0,0,0
1,0,4,804,6.109247583,0,0,0,0,0,0,0
1,0,3.7,679,6.745236349,0,0,0,0,0,0,0
1,0,3.1,245,5.703782475,0,0,0,0,0,0,0
0,0,3.7,21,6.109247583,0,1,0,0,0,0,0
1,0,4.1,28,5.010635294,0,0,0,0,0,0,0
0,0,4.3,345,5.991464547,0,1,0,0,0,0,0
1,0,4,618,6.620073207,0,0,0,0,0,0,0
0,0,4,1047,6.109247583,0,1,0,0,0,0,0
1,0,3.9,627,6.109247583,0,1,0,0,0,0,0
1,0,3.8,104,5.703782475,0,1,0,0,0,0,0
1,1,4.2,354,6.684611728,0,1,0,0,0,0,0
0,0,3.6,55,5.298317367,0,1,0,0,0,0,0
1,0,3.7,17,5.991464547,0,1,0,0,0,0,0
0,0,4.2,244,6.684611728,0,1,0,0,0,0,0
1,1,3.6,163,6.684611728,0,0,0,0,0,0,0
1,0,3.8,58,5.010635294,0,0,0,0,1,0,0
0,1,4,808,6.745236349,0,1,0,0,0,0,0
0,0,3.7,78,5.010635294,0,1,0,0,0,0,0
1,0,4.1,1720,5.991464547,0,0,0,0,1,0,0
1,0,3.6,34,4.605170186,0,0,0,0,0,0,0
0,0,4.1,868,7.090076836,0,1,0,0,0,0,0
0,0,3.8,39,5.703782475,0,1,0,0,0,0,0
1,0,3.2,71,6.396929655,0,0,0,0,1,0,0
1,0,3.6,6,6.214608098,0,1,0,0,0,0,0
0,0,4.1,520,5.703782475,0,1,0,0,0,0,0
0,0,2.9,84,6.551080335,0,1,0,0,0,0,0
0,0,3.6,299,5.703782475,0,1,0,0,0,0,0
1,0,4.1,558,5.010635294,0,0,0,0,1,0,0
1,0,3.6,28,5.703782475,0,1,0,0,0,0,0
0,0,3.7,22,6.214608098,0,1,0,0,0,0,0
0,0,3.8,39,5.857933154,0,1,0,0,0,0,0
1,0,3.8,153,6.214608098,0,0,0,0,0,0,0
1,0,4.2,146,5.991464547,0,1,0,0,0,0,0
0,0,3.5,14,5.298317367,0,1,0,0,0,0,0
0,0,3.8,42,6.551080335,0,1,0,0,0,0,0
0,0,3.700448818,0,4.605170186,0,1,0,0,0,0,0
0,0,4,66,5.703782475,0,1,0,0,0,0,0
1,0,4.4,4401,6.396929655,0,0,0,0,0,0,0
0,0,3.5,31,5.298317367,0,1,0,0,0,0,0
0,0,3.5,7,6.214608098,0,1,0,0,0,0,0
